date;Value;% Change;Open;High;Low;Turnover;
10.08.2012;439,97;0,14;440,06;442,46;439,97;11.919.648;
09.08.2012;439,36;-0,33;439,96;440,23;438,19;176.333.285;
08.08.2012;440,82;0,05;440,13;441,03;439,84;15.275.844;
07.08.2012;440,58;-0,25;442,30;442,58;438,22;15.753.615;
06.08.2012;441,70;0,63;438,88;441,70;437,59;110.429.940;
03.08.2012;438,92;0,70;438,93;439,92;436,44;75.692.993;
02.08.2012;435,85;-0,03;436,50;437,23;434,64;5.899.464;
01.08.2012;436,00;0,13;436,38;438,35;435,32;10.510.955;
31.07.2012;435,44;0,28;433,39;435,45;433,39;22.042.299;
30.07.2012;434,22;0,12;435,13;435,94;433,32;13.125.174;
27.07.2012;433,69;0,28;432,31;434,31;431,57;4.420.924;
26.07.2012;432,47;1,33;429,30;432,54;429,30;19.461.841;
25.07.2012;426,80;-0,15;427,00;427,31;424,47;7.737.925;
24.07.2012;427,44;-0,70;430,95;433,78;427,44;7.227.502;
23.07.2012;430,44;-0,88;431,32;431,47;429,23;4.962.383;
20.07.2012;434,26;0,32;431,43;434,77;429,77;114.933.377;
19.07.2012;432,86;0,28;431,46;432,99;430,92;7.754.636;
18.07.2012;431,66;-0,76;432,99;433,13;430,93;2.065.452;
17.07.2012;434,98;-0,18;432,08;435,45;431,50;20.438.470;
16.07.2012;435,78;-0,38;436,96;440,03;434,23;212.152.264;
13.07.2012;437,44;-0,10;435,30;437,98;433,47;94.141.699;
12.07.2012;437,88;0,66;435,20;438,83;435,20;9.569.288;
11.07.2012;434,99;-0,27;432,22;435,77;431,59;15.872.942;
10.07.2012;436,16;0,20;436,36;436,59;435,28;14.968.251;
09.07.2012;435,28;-0,36;436,49;436,85;434,25;10.096.828;
06.07.2012;436,86;0,94;433,83;441,07;433,83;33.234.647;
05.07.2012;432,80;0,94;428,50;434,11;428,50;35.573.028;
04.07.2012;428,75;-0,35;429,76;430,04;424,97;18.987.654;
03.07.2012;430,26;-0,19;430,64;430,79;427,17;7.115.011;
02.07.2012;431,09;-1,12;432,56;432,56;427,04;66.855.542;
29.06.2012;435,98;0,62;433,51;436,85;431,42;47.789.080;
28.06.2012;433,28;-0,59;435,60;435,60;432,57;6.721.103;
27.06.2012;435,83;0,00;437,82;439,36;435,83;6.844.277;
26.06.2012;435,83;0,19;434,23;438,70;434,23;39.388.525;
25.06.2012;435,02;0,06;434,87;435,99;433,09;10.591.488;
22.06.2012;434,77;-0,16;434,89;435,55;434,27;7.379.062;
21.06.2012;435,47;-0,55;438,55;439,71;433,50;23.008.767;
20.06.2012;437,86;0,25;441,63;441,63;437,38;4.186.673;
19.06.2012;436,77;-0,40;436,93;440,74;434,06;25.891.070;
18.06.2012;438,51;1,78;430,98;438,51;430,80;11.572.869;
15.06.2012;430,84;-0,21;428,77;432,82;428,74;14.074.023;
14.06.2012;431,76;-0,85;433,85;434,12;428,57;16.140.068;
13.06.2012;435,45;-0,12;432,95;436,52;432,95;13.579.786;
12.06.2012;435,97;-0,60;436,51;438,56;433,41;8.434.326;
11.06.2012;438,59;1,60;433,81;439,90;433,81;97.199.826;
08.06.2012;431,68;0,23;429,17;432,18;427,88;28.081.666;
07.06.2012;430,70;-0,14;430,05;431,19;430,05;12.903.957;
06.06.2012;431,30;-0,09;433,28;433,28;428,46;13.838.758;
05.06.2012;431,70;-1,42;430,20;441,49;430,20;23.306.647;
04.06.2012;437,94;-0,89;440,25;441,64;435,92;12.550.022;
01.06.2012;441,87;-1,41;446,92;446,92;439,70;17.142.283;
31.05.2012;448,17;0,21;447,37;450,18;447,19;14.127.212;
30.05.2012;447,23;-0,53;447,33;449,05;445,78;15.648.629;
29.05.2012;449,63;-0,06;449,90;452,06;448,88;10.323.667;
28.05.2012;449,91;-0,15;451,50;452,34;448,41;46.452.137;
25.05.2012;450,57;-0,42;451,42;451,73;450,57;25.117.697;
24.05.2012;452,45;-0,88;451,51;454,04;450,80;100.282.752;
23.05.2012;456,48;-1,45;461,30;464,49;456,40;35.340.130;
22.05.2012;463,19;-1,30;465,67;466,03;459,12;29.036.140;
21.05.2012;469,30;-1,30;470,49;473,28;466,12;509.336.559;
18.05.2012;475,48;-0,52;477,37;477,91;471,85;9.402.673;
17.05.2012;477,97;-0,70;476,63;478,94;476,58;11.552.138;
16.05.2012;481,33;-0,16;482,71;483,93;478,52;13.528.132;
15.05.2012;482,10;-1,24;487,88;488,33;480,15;31.059.265;
14.05.2012;488,16;-0,16;485,20;488,27;484,11;14.428.250;
11.05.2012;488,96;0,35;487,98;495,37;487,61;35.818.980;
10.05.2012;487,26;0,16;485,01;487,26;481,75;11.312.928;
09.05.2012;486,47;-0,94;486,80;490,47;484,25;12.846.541;
08.05.2012;491,10;-0,93;492,09;494,01;490,37;8.372.442;
07.05.2012;495,73;0,21;494,55;496,23;493,15;34.441.547;
04.05.2012;494,69;1,54;494,87;497,37;493,86;14.438.947;
03.05.2012;487,20;-0,75;490,12;490,43;485,87;22.901.515;
30.04.2012;490,89;-0,82;491,77;491,82;490,28;27.293.262;
27.04.2012;494,96;-0,18;493,75;495,61;493,21;11.346.422;
26.04.2012;495,86;0,54;492,92;496,79;492,75;46.405.448;
25.04.2012;493,21;-0,61;493,83;494,84;492,59;16.857.970;
24.04.2012;496,25;0,05;493,83;501,24;492,61;24.247.649;
23.04.2012;496,00;-0,38;500,09;502,69;495,54;9.477.804;
20.04.2012;497,87;-0,79;500,17;509,25;496,52;17.881.839;
19.04.2012;501,82;-0,52;503,11;504,22;500,42;8.141.827;
18.04.2012;504,42;-0,20;503,40;504,59;502,20;10.507.710;
17.04.2012;505,42;-1,42;509,99;515,84;503,78;11.980.060;
12.04.2012;512,72;0,47;510,10;514,22;509,09;58.190.001;
11.04.2012;510,31;-0,60;517,26;518,98;501,74;17.514.309;
